Customer,WO #,Invoice #,Date,Due Date,Total,Balance,Invoice Pay Status,WO Description,Summary
100 Emerald Beach Way,1323,i1290,2026-01-14 12:00 AM,2026-02-13 12:00 AM,0.00,0.00,NON-BILLABLE,"IN-DEPTH FOR SEPTEMBER 2025/\CRCovers: All 1st floor main house air handling units, 1-Carrier 30MPW030 chiller, 1-Marley AQ493 cooling tower, 1-Trane sp",IN-DEPTH FOR SEPTEMBER 2025/\CRCompleted maintenance by Sammy. \CRCleaned all drain lines. Did not due the filters due to construction. \CR
100 Emerald Beach Way,1324,i1291,2026-01-14 12:00 AM,2026-02-13 12:00 AM,0.00,0.00,NON-BILLABLE,"IN-DEPTH A/C MAINTENANCE FOR OCTOBER 2025/\CRCovers: All 1st floor main house air handling units, 1-Carrier 30MPW030 chiller, 1-Marley AQ493 cooling tow",IN-DEPTH A/C MAINTENANCE FOR OCTOBER 2025/\CRCompleted maintenance by Sammy.\CRCleaned the drains/did not replace the filters.
100 Emerald Beach Way,1628,i1572,2026-01-13 12:00 AM,2026-02-12 12:00 AM,0.00,0.00,NON-BILLABLE,"INDEPTH A/C MAINTENANCE FOR JANUARY 2026/\CRCovers: All 1st floor main house air handling units, 1-Carrier 30MPW030 chiller, 1-Marley AQ493 cooling towe",INDEPTH A/C MAINTENANCE FOR JANUARY 2026/\CRMaintenance completed by Pablo/Gabriel.\CRCleaned tower. \CRNOTE: Lukas wants a new water pump and blower motor
100 Emerald Beach Way,1629,i1573,2026-01-14 12:00 AM,2026-02-13 12:00 AM,0.00,0.00,NON-BILLABLE,WATER TREATMENT FOR JANUARY 2026/\CRPaid service on 1/2/2026.,WATER TREATMENT FOR JANUARY 2026/\CRUnable to gain access to the property this week. Properly Manager has requested that I come back next week for servi
100 Emerald Beach Way,1630,i1574,2026-01-14 12:00 AM,2026-02-13 12:00 AM,0.00,0.00,NON-BILLABLE,"IN-DEPTH FOR A/C FOR NOVEMBER 2025/\CR2-Men 8 hrs each total of 16 hrs\CRCovers: All 1st floor main house air handling units, 1-Carrier 30MPW030 chiller,",IN-DEPTH FOR A/C FOR NOVEMBER 2025/\CRNOTE: Main entrance system is overcooling due to a faulty blower motor running all day. Need to replace blower mot
100 Emerald Beach Way,1631,i1575,2026-01-14 12:00 AM,2026-02-13 12:00 AM,0.00,0.00,NON-BILLABLE,"IN-DEPTH A/C MAINTENANCE FOR DECEMBER 2025/\CRCovers: All 1st floor main house air handling units, 1-Carrier 30MPW030 chiller, 1-Marley AQ493 cooling to",IN-DEPTH A/C MAINTENANCE FOR DECEMBER 2025/\CRDid not perform maintenance due to construction.
100 Emerald Beach Way,1632,i1576,2026-01-14 12:00 AM,2026-02-13 12:00 AM,0.00,0.00,NON-BILLABLE,WATER TREATMENT FOR NOVEMBER 2025/,WATER TREATMENT FOR NOVEMBER 2025/\CRPaid for service.
100 Emerald Beach Way,1744,i1685,2026-02-26 12:00 AM,2026-03-28 12:00 AM,36.00,36.00,OVERDUE,Paid IN-DEPTH FOR THE MONTH OF FEBRUARY 2026/\CRConf with Lukas on 02/24/2026 for 02/26/2026-ALSO CHECK THE HEATER FOR MASTER BATHROOM/\CRPaid ck #5321 on,IN-DEPTH FOR THE MONTH OF FEBRUARY 2026/\CRMaintenance completed by Gabriel/Pablo. \CRMaster bedroom-had no heat. Found a bad 60 amp fuse. Picked up 2 fro
100 Emerald Beach Way,1718,i1688,2026-02-12 12:00 AM,2026-03-14 12:00 AM,3797.57,3797.57,OVERDUE,Paid FEW UNITS-NO HEAT/\CRCalled in by Lukas\CRPaid ck #5321 on 6/15/2026 part of amount $6828.57.\CR,FEW UNITS-NO HEAT/\CRChecked two units that Lucas showed me the Cabana and the one that’s does the laundry and 1st floor south side hallway. Found both
100 Emerald Beach Way,1757,i1698,2026-02-12 12:00 AM,2026-03-14 12:00 AM,0.00,0.00,NON-BILLABLE,WATER TREATMENT FOR FEBRUARY 2026/,WATER TREATMENT FOR FEBRUARY 2026/\CRReport attached.
