Item Name,Description,Mfg Part #,Category,Rate,Item Type
8733933939,BOSCH CONTROL BOARD,,Equipment,327.81000,Inventory
000-CZ0-0253-S,DELFIELD Refrigeration Control Assy. for Delfield,,Material:Refrigeration,707.16000,Inventory
00218ET3E145T-S,"WEG 2HP 1800 3 60 208-230/460, J2 MFG Item Number 00218ET3E145T-S",,Material,1141.96000,Inventory
00718OT3E213T-S,"WEG General Purpose Motor: Open Drip Proof, Rigid Base Mount, 7 1/2 HP, 1,770 Nameplate RPM",,Material,2439.15000,Inventory
02-2217-02,"Inlet Valve and Float Assembly ICE MACH.FLOAT/VALVE OEM: Scotsman; Replaces: 02-2217-02; Description: Brass/Plastic; Inlet Conn.: Horizontal – 1/4"" Co",,Material:Refrigeration,155.61000,Inventory
02-4303-01,"Scotsman 02-4303-01 Grill, Frame, CU30",,Material:Refrigeration,249.15000,Inventory
02-4303-02,"Scotsman 02-4303-02 Grill Insert, Left Hand, 30"" Model, CU3030",,Material:Refrigeration,170.87000,Inventory
02-4308-02,"Scotsman 02-4308-02 Air Filter, Front, 30"", Model CU30",,Material:Refrigeration,166.87000,Inventory
02-4652-01,Scotsman Float Valve with Out Shut Off,,Material:Refrigeration,381.28000,Inventory
054117,054117 Door Gasket Brand: Bally Refrigerated Boxes,,Material:Refrigeration,194.13000,Inventory
06001921,"Glastender 06001921 Coil, Evaporator, 2 Wall Coolers, 14 x 6",,Material,624.62000,Inventory
06006096,"Glastender 06006096 Expansion Valve, Txv, R134A, 1/6 Ton, 1/4"" Inlet",,Material,309.52000,Inventory
06006106,22-1/4 x 26-1/8 Dr Gasket for Glastender,,Material:Refrigeration,165.28000,Inventory
1 1/8SDS,"SDS-MAX Drill Bit: 1 1/8 in Drill Bit Size, 18 in Max Drilling 23 in Overall Lg",,Material,0.00000,Non Inventory
1 WAY-10X10,AIRCBML11010 10X10 ONE WAY WHITE GRILL,,Material,80.84000,Inventory
1 WAY-10X10 OBD,AIRCBOB11010 10X10 ONE WAY OBD WHITE,,Material,144.52000,Inventory
1 WAY-10X6,AIRCBML11060 10X6 ONE WAY WHITE GRILL,,Material,51.81000,Inventory
1 WAY-12X12,AIRCBML11212 12X12 ONE WAY WHITE GRILL,,Material,83.67000,Inventory
1 WAY-12X8,AIRCBML11208 12X8 ONE WAY WHITE GRILL,,Material,78.97000,Inventory
1 WAY-14X6,AIRCBML11406 14X6 ONE WAY WHITE GRILL,,Material,74.26000,Inventory
1 WAY-6X4,AIRCBML10604 6X4 ONE WAY WHITE GRIL AIR GUIDE,,Material,51.24000,Inventory
1 WAY-6X6OBD,AIRCBOB10606 6X6 ONE WAY OBD WHITE GRILL,,Material,107.17000,Inventory
1 WAY-8X4,AIRCBML10804 8X4 ONE WAY WHITE GRILL,,Material,51.75000,Inventory
1 WAY-8X4OBD,AIRCBOB10804 8X4 ONE WAY OBD WHITE GRILL,,Material,80.38000,Inventory
1 WAY-8X8,AIRCBML10808 8X8ONE WAY WHITE GRILL,,Material,0.00000,Inventory
"""10"" HOOD CAP""","10 Inch Hooded Wall Vent with Screen and Damper, Outdoor Wall Exhaust Vent Cover Cap for Kitchen Range Hood Dryer Exterior Ventilation and Outside Air",,Material,204.45000,Inventory
102-50,"Copper Hard Pipe 4-1/8""",,Material:Copper,0.00000,Inventory
102-51,"Copper Soft Tubing 1/4""",,Material:Copper,6.50000,Inventory
102-52,"Copper Hard Pipe 3/8""",,Material:Copper,0.00000,Inventory
102-53,"Copper Soft Tubing 3/8""",,Material:Copper,8.84000,Inventory
102-54,"Copper Hard Pipe 1/2""",,Material:Copper,0.00000,Inventory
102-55,Copper Soft Tubing 1/2,,Material:Copper,10.83000,Inventory
102-56,"Copper Hard Pipe 5/8""",,Material:Copper,37.83000,Inventory
102-57,"Copper Soft Tubing 5/8""",,Material:Copper,15.84000,Inventory
102-58,"Copper Hard Pipe 3/4""",,Material:Copper,24.91000,Inventory
102-59,"Copper Soft Tubing 3/4""",,Material:Copper,16.44000,Inventory
102-60,"Copper Hard Pipe 7/8""",,Material:Copper,52.19000,Inventory
102-61,"Copper Hard Pipe 1 1/8""",,Material:Copper,46.03000,Inventory
102-62,"Copper Hard Pipe 1 3/8""",,Material:Copper,67.41000,Inventory
102-63,"Copper Hard Pipe 1 5/8""",,Material:Copper,0.00000,Inventory
102-64,"Copper Soft Tubing 7/8""",,Material:Copper,55.02000,Inventory
102-65,"Copper Soft Tubing 1-1/8""",,Material:Copper,0.00000,Inventory
1029118-1,21-7/8 x 30-1/8 Door Gasket for Perlick 1029118-1,,Material,154.56000,Inventory
1094-01,Kason Hydraulic Heavy Duty Door Closer - Flush w/exposed mounting tab flush mount,,Material:Refrigeration,283.40000,Inventory
11-0572-21,Scotsman Dual Temp Probe Assy Part# 11-0572-21 (OEM Replacement),,Material:Refrigeration,480.30000,Inventory
11A15-24,"TE CONNECTIVITY / POTTER & BRUMFIELD K10P-11A15-24 POWER RELAY, DPDT, 24VAC, 15A, PLUG IN",,Material,159.60000,Inventory
120-02,"Flare Nut 1/4""",,Material:Copper,0.00000,Inventory
120-03,"Flare Nut 3/8""",,Material:Copper,0.00000,Inventory
120-05,"Flare Nut 1/2""",,Material:Copper,0.00000,Inventory
120-06,"Flare Nut 5/8""",,Material:Copper,0.00000,Inventory
120-07,"Flare Nut 3/4""",,Material:Copper,0.00000,Inventory
120Z5057,120Z5057 DANFLOSS COMP WIRING HARNESS HV 380,,Material,175.69000,Inventory
122-102,"Copper Fitting 1-1/8"" 90",,Material:Copper,0.00000,Inventory
122-103,"Copper Fitting Elbow Street  90°, long 1-1/8"" FTG x 1-1/8"" C",,Material:Copper,87.20000,Inventory
122-104,"Copper Fitting 1-1/8"" 45",,Material:Copper,85.45000,Inventory
122-105,"Copper Fitting 1-1/8"" Coupling",,Material:Copper,40.37000,Inventory
122-106,"Copper Fitting 1-1/8""-3/4"" 90",,Material:Copper,0.00000,Inventory
122-107,"Copper Fitting 1 1/8"" FPT adaptor coupling",,Material:Copper,91.08000,Inventory
122-109,"Copper Fitting 1-1/8""-7/8"" Coupling",,Material:Copper,38.01000,Inventory
122-110,"Copper Fitting reducer,1-1/8"" FTG x 7/8"" C\CR",,Material:Copper,31.44000,Inventory
122-111,"Copper FittingTee,1-1/8"" C x 1-1/8"" C x 1-1/8"" C",,Material:Copper,88.29000,Inventory
122-112,"Copper Fitting 1 1/8"" x 7/8 in. Tee",,Material:Copper,110.42000,Inventory
122-116,"Copper Fitting 1-1/8""- 5/8 Red T",,Material:Copper,0.00000,Inventory
122-120,"Copper Fitting 1-3/8"" 90",,Material:Copper,83.97000,Inventory
122-121,"Copper Fitting 1-3/8"" Street 90",,Material:Copper,109.14000,Inventory
